review,sentiment
"Paint by numbers story and mediocre acting saved by some authentic color - and a few moments that are really wonderful and deeply felt. It does effectively capture the delicate transition of a girl into adulthood, and deals very sensitively and inventively with the cultural conflict the main family experiences.<br /><br />Unfortunately this germ of a good movie is imprisoned in an aimless and extremely convoluted plot that manages to incorporate religious strife, a conflict over a road construction project, the sex life of secondary and even tertiary characters, a mysterious man who lives in the woods, a bunch of racist hooligans, at least three different carnivals, the intricacies of local church politics, and on and on and on. And all of that doesn't even include the actual central plot, which is only about the hopes, dreams, and frustrations of two girls (and their entire families) at the turning point of their lives. I was actually shocked when I realized the whole thing was supposed to take place over the course of one summer (and that so much movie got accomplished in 1.5 hours!) <br /><br />Ultimately the movie is melodramatic, every plot point is predictable, major life altering events happen and then are forgotten about 10 minutes later...and some of those events are extremely distasteful. Most shockingly the fact that one of the characters is involved in a horrible crime (in a totally predictable ""twist"") and then is completely forgiven and the entire incident forgotten about from then on. Similarly, a secondary character is introduced solely to die a couple minutes later and provide another ""twist."" It's all totally mechanical, right up to the ending that neatly ties up all the loose ends (well not all of them, just the ones the movie thinks you care about.)",negative
"I saw this movie because every review I read of it said that it was one of the scariest movies of the new millennium. I really don't understand what all of the hype was about. For one thing, the dialogue in this movie was laughably bad (""What if something strange is going on?""...what????). The acting didn't blow my socks off either. It could have been because the script barely gave the actors anything to work with....the characters are purely 2-dimensional to me and I didn't give a hoot about them at all. Another thing is that the movie extremely boring. Extremely. Sure, there are a couple of ""jolts"" here and there, but for the movie's 112 minute length, it sure didn't use it's time up wisely. Most of the movie contains characters talking about stuff that had barely anything to do with the plot. What was the point of that??<br /><br />To top it off, the movie makes no sense. Yes, I believe I understood the intentions of the ghosts, but how that fits into the events that actually occur in the movie is beyond me. Also, much of the movie is played out in little vignettes, which makes the story hard to follow at times. And don't even get me started with the ending. What exactly happened there?<br /><br />I can give Kurosawa credit for placing some truly frightening images throughout the film. There are very creepy shots of ghosts and other unsettling images. If they reflected more on those images and elaborated on them, it would have made the movie much stronger. But they didn't, and instead elaborated more on social commentary, which was interesting, but again, portrayed in an extremely dull way. Yes, it's a message movie. Okay, fun. I'll just get the message of my review right out here in the open: find a better way to spend your spare time than watching this.",negative
"this movie was really bad. it has that quality that a lot of indie movies have: moments of humor filled with long spaces that are completely boring. Any die-hard BAM magera fan will prolly like this movie, but then again thats probably the only person who would see it. someone gave me this movie to watch knowing i am a fan of Jackass and was a fan of viva la bam, before the scripted nature of that show wore thin. To explain why this movie doesn't work i should just say the premise itself is played out<br /><br />a guy who is with a girl who is horrible to him. And pretty much the whole movie you've got this Ryan Dunn guy whining and Bam magera skipping around like a merry mischief maker. Dicamillo's performance is strange at best. It's a humorous little nonspecific Canadian french accent that pretty much is the extent of his performance (basically funny for 5 minutes and then its like 'ok you're pretending to be foreign enough already"")<br /><br />Maybe it would work if they were going for parody but all they succeed in doing is making a movie with an IQ of zero. I love toilet humor as much as the next guy, but this isn't even lowbrow its just stupid. Its like the only humor to be gotten from this movie is completely inside and the audience, even those savvy to Magera and company, are left out of the joke.<br /><br />Next time magera is handed a sack full of money let's hope he doesn't blow it on some lousy pet project",negative
"only if its the last thing yo do and your humour is evaporated should you ever attempt to watch this. If you do, watch it alone invite no one, they will never return to watch another movie with you. It might be an excellent tool for that very purpose, invite people you want to get rid of in your life.<br /><br />Apparently I need to write more about his film in order to qualify as a review. This is sweet irony for this film it really does sum it up perfectly. after wasting my time it wastes more of your time. IT does have a function I take it all back.<br /><br />I recommend this film, watch it, its provocative, really go ahead watch it.",negative
"/The first episode I saw of Lost made me think, i thought what is this some people who crashed and get chased by a giant monster. But it's not like that, it's far more than that,because their is no monster at all and every episode that you see of Lost , well it's getting better every time. a deserted island with an underground bunker and especially the connection between the people who crossed paths with each other before they crashed. That's the real secret.<br /><br />This series rules and I can't wait to know what's really going on there I hope that they don't air the last 2 episodes in the theaters,this series deserves a 9 out of 10",positive
"The movie blood and chocolate is NOTHING like the book. The plot has totally changed and whoever chose the cast needed to read the book. First the girl is not an introvert Aden is. Vivian was the one that chased Aden. Her mother was to have survived and be the one after Gabriel. Astrid was the one that did all the murders along with Ralf an ex of Vivian's. Gabriel is not old. He is old looking. And Aden DID NOT get Vivian in the end, Gabriel did. The title came from Vivian comparing kisses from Aden (sweet like chocolate) and Gabriel(delicious like blood). She picked blood because it promised more and he understood her more. That reminds me, Gabriel is not against humans like in the movie. He just avoids intimacy with them because they hurt him in the past. Really the book is sooooooo much better than the movie. But if you want o see running, a dating montage, and a lot of jumping. Then this is the movie to see.",negative
"This isn't exactly a great film, but I admire the writers and director for trying something a little different. The film's main theme is fate and small, seemingly insignificant things that can greatly change the future. In some ways this reminds me of the film SLIDING DOORS, though instead of focusing on one random event, seemingly random stuff happens repeatedly and each one helps build to the cute conclusion. Plus, an odd bald guy seems to understand all this and he talks about this during one brief scene--like he's some sort of omnipotent being but there's absolutely no explanation of him in the film (like the two guys that fight each other in the clock tower in THE HUDSUCKER PROXY).<br /><br />The DVD jacket shows just Audrey Tautou. This is capitalize on her success in AMELIE, though she is only one of many actors in the film and there is no one starring role. The pace is brisk, the acting fine and the conclusion isn't bad at all. The only reason I didn't score it higher is that some of the characters were a bit uninteresting and I think the movie could have perhaps been tightened up with a few less subplots.",positive
"First, let me start off by saying this film SOUNDED very interesting: A serial killer copycatting the works of Edgar Allan Poe (who is one of my writers of all time). Sounds cool, right? Yeah, definitely not. Probably the worst film I've ever seen. Ever. And that's not an exaggeration. I've seen a lot of very, very bad movies. This one takes the cake. And I was even prepared for a bad movie before going into it.<br /><br />Perhaps the writer should've studied some law enforcement procedure: If you have the name of the killer, his entire life's history, a criminal record, and HIS ADDRESS, where is the first place you should look? Hmm. . . possibly. . . his house? What?! NO! That's a preposterous idea, Anthony! How could you suggest something so obvious and level-headed rather than going to a bowling alley? *spoilers end* Honestly, sometimes I can forgive a movie if the writing is good but the acting is bad, or vice versa. . . but this just had everything wrong with it you could possibly find.<br /><br />I think my biggest pet peeve was how the police/FBI acted.<br /><br />For example: Black FBI Agent: ""Okay, endangered female, just sit here in this car in an empty parking lot while I go inside and look around the potential crime scene where a serial killer is supposed to be. Sound good to you?"" Moronic Female FBI Agent: ""Yeah, sounds a-okay to me. Go right ahead. I'll be sure to not focus on my surroundings or at least check the perimeter."" Black FBI Agent: ""Excellent, that's what I would do!"" Honestly, if you want to be in law enforcement, rent this movie so you can learn how not to act. . . or if you're a human and want to learn the same.<br /><br />0.5/10: A half-point just for getting a film produced and in stores. Congrats.<br /><br />-AP3-",negative
"I recently purchased Lost Horizon on ebay, having vivid memories of the Things I Will Not Miss number from childhood (I am an ancient 29). I also recently finished the novel upon which it is based. I was so pleasantly surprised to find a genuine hidden treasure. A wonderful cast brings such warmth and depth to a beautifully simple and elegantly told story, subtly updated from the original film (and by now quite a separate entity to the far more intellectual and thought provoking book by James Hilton). Sally Kellerman in particular has a radiant presence as the suicidal neurotic Sally Hughes, who gradually warms to the charms of Shangri-La. Only Liv Ullmann flounders in her wooden portrayal of the schoolteacher (a role far more suited to a Julie Andrews type. The fact that Finch, Ullmann and Hussey are all dubbed isn't important as it is almost impossible to tell. The songs DO vary in quality, the music being far superior to the lyrics but it is still a vibrant and engrossing film that really deserves a proper DVD release and a lot more recognition.",positive
"Aside from a few good moments of fairly raw violence, this painful film is most notable for making 68 minutes seem like two hours.<br /><br />It starts with an interminably long intro where the Leeds family is introduced, including two insufferable tykes and their adult brother and sister, completely clichéd Pa and Ma, and incredibly annoying Grandpa (played by Charles ""Chic"" Sales). While sitting down to dinner the family is disturbed by the sounds of gunfire, and rushes to the window in time to see two men gunned down by mobsters in the street. The mobsters flee through the family's house, leaving them as witnesses to the crime.<br /><br />The rest of the movie consists of Walter Huston as the crusading DA occasionally interrupting long anti-crime speeches to make half hearted attempts at trying to protect the family from the mob. It all winds up in a predictable manner.<br /><br />Good points about the movie include a couple of decent shootouts and a truly nasty beating, Nat Pendleton as one of the mobsters, and the gorgeous Sue Blane in a small role as the Leeds daughter. <br /><br />If you want to watch Huston play his early trademark crusading lawman, try 1932's ""Beast of the City."" Avoid this one if at all possible.",negative
"Although Cameron Grant was clearly hired to replace Andrew Blake over at Ultimate Pictures when the latter started his own company (Studio A), he practically outdid the ""Master"" right out of the gate when it came to setting up steamy sex scenes. So, while all the window dressing Blake had pioneered (starlets in fetish lingerie and sun glasses, coiffed and made up as if they're about to hit the catwalk) remained very much present and accounted for, Grant added his own personal spin to the carnal content. In doing so, he raised the heat to a level that had eluded Big A ever since his first  and IMHO best  film NIGHT TRIPS. Cam's maiden effort, ELEMENTS OF DESIRE, might still have been handicapped by an overly slavish adherence to the Blake aesthetic (with a surfeit of girl on girl gropes), but his subsequent DINNER PARTY already shows him at the top of his form in what must surely rank as his masterpiece.<br /><br />The title spells out the premise as a group of well to do friends and acquaintances gather over dinner to swap sexy stories, with an extended orgy at the conclusion. Scrumptious Juli Ashton and Tammy Parks smear food stuff all over each other's flawless physiques in their kitchen sequence that is sure to delight those with a taste towards combining pleasures of the palette with those of the flesh. Busty Crystal Gold (here : ""Catalina"") was rarely more than a reliable second-stringer, adding spice to several Ona Zee bargain basement noirs, yet looks absolutely stunning here in a romantic four poster frolic with Fabio lookalike Vince Voyeur. Beautiful blondes Kylie Ireland and Yvonne, making out with Marc Davis (for the record, the latter two were an item at the time) under a waterfall, complete the eye candy section of the movie.<br /><br />Time to get cooking ! Early Jenna Jameson (""Daisy"" back then) foreshadows the greatness to come as she drains Frank Towers (""Mark Slade"" on his subsequent shift to the gay side of the industry) of all vital juices, albeit with a little help from brunette Diva for effective contrast, the scene's stylish industrial setting providing an atmospheric backdrop to the full tilt sex taking place. Impossibly hunky construction worker Gerry Pike seeks to cool off on a sweltering summer day by hosing down, a prospect too tantalizing for prim 'n' proper business woman Asia Carrera (at her all time most achingly pretty) to pass up. Best of show must be the imaginative sequence that has nasty Norma Jeane and handsome Sean Michaels teasing the pants off each other  for starters !  while separated by a glass partition right until the predictably splashy conclusion.<br /><br />With sex that proves either artsy or hot, and more often than not both, Grant has concocted a veritable smörgåsbord of fleshy wares to continue the film's gastronomic analogy the title implies. Couples may be the prime intended audience, but an alternation between naughty 'n' nice should rightfully include that ""something for everything"" recipe so many adult features are aiming for. Acting as his own DoP, the director shows great eye for detail, like the shot of Asia Carrera's pristine white shoes being spattered with mud, enriching his vision. This marks him out as a great filmmaker rather than a merely serviceable one, as was the case with Nick Steele who stepped up to take his place at Ultimate  effectively making him a replacement's replacement ?  when he packed up for greener pastures.",positive
"If you want to make a movie like this, have the threat be real. Don't surround your patsy with a bunch of Bonzos. There is no credibility here. The plot is dull and unbelievable. The acting is even worse. I thought that I was watching Arthur Lake (Dagwood) who is one of the worst actors in history, when I saw the main character. Oh well, at some point he has to face the music and get fighting mad. I don't care. Do you? There are all these long scenes set in this austere office (the furniture made out of cardboard or masonite). People talk and smoke and don't do anything. Most of the action happens in a five minute sequence. After that, it's over. Don't bother.",negative
"DarkWolf tells the tale of a young waitress named Josie (Samaire Armstrong) who had been leading a pretty ordinary life until her friend Mary (Tippi Hedren) is killed by a Werewolf, you see Werewolves actually exist in modern day America & there is even a special organisation within the police force to fight the Werewolf threat headed up by Detective Steve Turley (Ryan Olosio) who has the difficult task of telling Josie that she is in fact a pure blooded Werewolf herself & that a so-called 'dark prince' Werewolf (Kane Hodder) wants to mate with her & create a new breed of pure blood Werewolves that will take over the entire world, or something like that. Understandably Josie has a hard time believing it, that is until she sees the evidence with her own eyes. It's up to Werewolf cop Steve to save Josie, the day & the world...<br /><br />Co-executive produced & directed Richard Friedman I thought DarkWolf was a pretty bad low budget shot on a digital camcorder horror film that didn't really do anything for me. The script by Geoffrey Alan Holliday starts out promisingly enough being set in a strip club with plenty of naked breasts on show & then there's a Werewolf attack which leaves someone splattered everywhere but after this decent opening sequence it's pretty much down hill all the way I'm afraid. For a start it's slow going, it's dull, it's predictable & it's populated with highly annoying character's who come out with lots of bad dialogue & do stupid things like when they have the opportunity to shoot the Werewolf they don't, I have no idea why but they prefer to just stand there instead. The script is dumb & doesn't explain itself, why has Josie never turned into a Werewolf before? Is she really the only one? Why can't this 'dark prince' find another female Werewolf? There are also lots of other things which make little or no sense like an ancient book which at fist seems quite important but is then totally forgotten about half-way through but you get the idea anyway, as a whole the film plods along in very linear fashion to a very predictable climatic showdown that is underwhelming to say the least.<br /><br />Director Friedman lights the film quite well with bright neon but this is noting new or original & doesn't really improve the film as a spectacle. Now let's talk special effects or rather the lack of them because the effects in DarkWolf are far from special, the Werewolf transformation is achieved using CGI & it's among the worst looking CGI I've ever seen, seriously a Playstation would be embarrassed about these computer graphics. It's easily the worst Werewolf transformation I've ever seen, An American Werewolf in London (1981) was made over 25 years ago yet the special effects in that are literally light-years ahead of the ones seen in DarkWolf, who says special effects have improved over the years? The animatronic puppet effects aren't much better either although at least there's something psychical on screen. The gore isn't up to much after a gory opening kill there's some blood splatter & plenty of dead bodies but not much else. Thre's a fair amount of female nudity if that's your thing but don't get too excited because you still have to sit through a terrible film to see it, is it really worth it?<br /><br />Technically DarkWolf is alright apart from possibly the worst CGI effect ever, it's reasonably well made & it at least seems to have production values. The acting is what you'd expect really.<br /><br />DarkWolf is yet another low budget piece of crap horror film that litter video shop shelves & clutter the schedules of obscure cable TV stations, I didn't think it was as bad as some but it's like saying going to the dentist is slightly more fun than going to a funeral although when all said & done they're both horrible still...",negative
"This was a movie of which I kept on reading the reviews again and again; and despite it being played at Film Museum and not at Pathe theatres  I decided to give this movie a try. The reasons were many  in the reviews it was compared with Pulp Fiction, it had several parallel stories running in the movie and lastly it had already won 17 awards internationally in various categories. I was eager to see this movie and due to my off day at Greenpeace I decided to make myself happy by going and seeing this movie.<br /><br />It is a story based in Finland. I think it reflected the current life of people in general  drugs, crime, sex, anger, anguish, fear and guilt. Every emotion was captured brilliantly in the movie. There are several characters and stories interwoven but a few characters come back in the latter half  making a link with the beginning sequences and that takes the story forward.<br /><br />The story is about two friends  one of whom is computer geek and the other is a drug addict  son of an abusive father. The drug addict boy trades a Euro 500 note  printed by his friend  to buy back his music system, and in returns gets huge change of cash back to buy more drugs. The trading of Euro 500 note continues to bizarre events  from the shop trader to an auto mechanic cum robber  to a car dealer  to a vacuum cleaner salesman  to a prostitute  to a police officer  then to her family and children. How the beginning of a small thing  creates a chain reaction that lead even after 5 years of that first incident to a depressing last note  which I won't reveal here.<br /><br />The direction is excellent. The character development in the movie is first rate. The character that sticks on your mind even after you come out of the movie is of the vacuum cleaner sales person. All the departments of the movie are handled nicely. Here I would like to make a couple of critical comments. First, during the sequence of one event leading to another I felt that the coincidences were too rapid and forced. But this screenplay writing error is pardon when one sees the whole canvas. Second, the trail of one character leading to another somehow leads back to the first two characters and that again I found to be a forced decision by the screen play writer. There was no need to have the same characters showing up again when there are different causes leading to different effects in such a big city.<br /><br />But after saying that  it is an excellent movie! It is a dark movie with quite a few sex scenes. The characters are having the black, white and gray shades and emotions that change from facing different situation which is brilliantly captured by the director.<br /><br />A top rate movie! It has all the ingredients of becoming a cult movie. I hope that only such movies should not become and achieve the status of cult movies and win lots of awards, because without crime, sex, violence, drugs etc. too one can make fantastic movies  Bicycle Thieves and Pather Panchali are its prime examples  only thing is that they were a long time back and times are changing and I think movies are reflecting the current times.",positive
